a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight,Activity_value
2,0,8,0.77178043,4.4120002,-3.6098399,1,278.34799,0
2,0,6,0.97083998,4.5417399,-4.77705,1,311.59198,0
8,0,15,0.88194418,0.898,-2.4342599,2,514.53198,0
5,1,10,0.89107347,5.00776,-5.7753201,3,577.68396,0
5,1,10,0.86838692,4.7807598,-5.48034,3,559.69397,0
6,1,11,0.87946004,5.24476,-5.6131201,3,575.69299,0
5,1,10,0.78850484,4.7659998,-6.1161599,3,533.77802,0
5,1,10,0.87542325,4.2017598,-5.1531301,3,545.66699,0
5,1,9,0.88292438,3.35076,-4.97263,3,531.64001,0
5,1,9,0.7974664,3.619,-5.46174,3,505.724,0
5,1,9,0.89093781,3.05476,-4.4987102,3,517.61298,0
6,1,9,0.80945945,2.2720001,-3.25564,3,506.71201,0
6,1,9,0.90483224,1.70776,-3.5464101,3,518.60101,0
6,1,10,0.90268892,3.51876,-4.6314902,3,533.612,0
5,1,9,0.8035835,3.737,-5.2660198,4,511.68698,0
5,2,12,0.87210411,4.3007598,-6.07795,3,553.646,0
2,0,2,0.68982387,3.925,-0.89494002,0,126.203,0
5,3,8,0.79934913,1.22153,-3.9623101,3,380.452,0
5,1,8,0.77078879,1.38053,-4.0594401,4,462.60199,0
3,0,5,0.74659985,4.0510001,-4.4577999,4,376.504,0
3,0,3,0.83726358,3.95,-5.4259601,4,353.80899,0
4,1,5,0.77551401,3.026,-3.2976799,3,346.47098,0
5,0,5,0.85257733,3.50453,-4.3449798,4,445.92599,0
6,0,5,0.8143397,3.0755301,-4.1992302,5,462.52899,0
3,0,5,0.75523859,2.678,-3.20665,4,397.56299,0
4,0,4,0.76800185,1.13,-1.56154,4,349.51898,0
4,0,4,0.76800185,1.13,-1.56154,4,349.51898,0
4,0,4,0.76800185,1.13,-1.56154,4,349.51898,0
4,0,4,0.76281554,1.572,-1.76331,4,363.54599,0
3,0,5,0.76983237,1.348,-1.72636,4,390.57199,0
3,0,6,0.77487975,1.365,-1.79216,2,339.47998,0
2,0,4,0.73056614,2.4400001,-2.90853,2,295.47101,0
2,0,4,0.73776084,2.174,-2.3498099,3,315.461,0
3,1,6,0.77612597,1.05,-2.1577499,3,350.50699,0
2,0,5,0.73368245,2.6040001,-2.8650301,3,329.48801,0
4,0,4,0.76869237,1.152,-1.54029,4,378.561,0
4,0,4,0.76869237,1.152,-1.54029,4,378.561,0
2,0,3,0.74720955,1.603,-2.04527,3,287.40698,0
4,2,6,0.87650144,1.2869999,-3.4742899,3,428.36398,0
5,3,9,0.78126138,3.6270001,-4.8404498,4,448.56699,0
5,2,3,0.79703635,1.77,-3.64271,5,405.50198,0
3,1,4,0.78136224,2.2390001,-3.7521701,3,307.353,0
5,2,11,0.84022248,2.451,-3.2098899,2,383.513,0
5,2,11,0.83214349,2.8929999,-3.41166,2,397.54001,0
5,2,10,0.84904402,2.0090001,-3.0081201,2,369.48599,0
5,2,10,0.84022248,2.451,-3.2098899,2,383.513,0
5,2,9,0.85871559,1.567,-2.80635,2,355.45898,0
4,2,11,0.75947934,2.698,-2.4604599,2,307.43399,0
6,1,9,0.8514033,2.49827,-5.9953699,4,452.90198,0
7,1,9,0.8580392,1.7187999,-5.0506201,4,467.91699,0
7,1,9,0.8580392,2.1638,-5.2089601,4,467.91699,0
7,1,9,0.9025054,2.4577999,-5.7827802,4,488.33499,0
8,1,10,0.86852831,1.5258,-5.3994198,4,478.89999,0
7,1,9,0.89286035,2.0188,-5.3434701,4,471.88,0
7,1,9,0.86579686,1.8668,-5.04849,4,453.88998,0
6,3,9,0.83436239,5.3829999,-7.3784099,4,558.14697,0
6,1,8,0.83462673,4.21066,-4.2824402,3,444.478,0
5,3,6,0.83363354,3.9230599,-4.65732,4,381.41498,0
6,4,7,0.85655755,2.8880601,-4.1275702,4,397.414,0
7,3,6,0.8673631,1.86359,-4.47614,4,383.39099,0
4,1,5,0.86310744,2.7550001,-3.48085,3,364.44098,0
4,1,6,0.81989717,3.7639999,-4.7874799,3,387.5,0
3,1,5,0.86228848,3.404,-4.0977602,3,351.491,0
3,1,5,0.86228848,3.5239999,-4.1289601,3,351.491,0
4,1,5,0.86310744,2.8299999,-3.5120499,3,364.44098,0
5,1,6,0.85400605,3.0680001,-4.37115,3,436.59698,0
3,1,5,0.8384971,3.3629999,-3.8530099,3,364.534,0
