a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight
7,2,12,0.85536772,1.962,-4.4769101,3,535.67297
7,2,12,0.85536772,1.962,-4.4769101,3,535.67297
7,1,16,0.85530448,4.0487399,-7.3802199,4,670.79498
7,3,11,0.82456946,1.355,-3.4075601,3,505.69098
7,3,11,0.82456946,1.355,-3.4075601,3,505.69098
14,1,25,0.82190186,4.6612201,-8.79743,8,909.00195
13,3,24,0.82326537,3.47422,-8.3790998,7,866.96497
14,1,27,0.81593394,5.5452199,-9.5144196,8,937.05597
9,2,12,0.91640335,-1.719,-1.6679,3,457.44
23,4,53,0.80988902,9.0264397,-17.237761,13,1674.906
14,3,11,0.91292721,-1.85,-2.63117,6,622.58398
14,1,23,0.82190186,4.5032201,-8.79743,8,909.00195
13,3,22,0.82326537,3.31622,-8.3790998,7,866.96497
14,3,10,0.90231878,-0.48199999,-4.2231202,7,656.60101
14,3,11,0.89575589,-0.34799999,-4.28894,7,670.62799
9,3,10,0.96850038,-3.15926,-1.10308,2,386.31699
14,3,26,0.93145072,-4.3005199,-3.3704,3,800.72797
8,1,13,0.89494067,-1.35552,-3.2833099,3,476.44199
14,2,24,0.83157247,3.57074,-8.3057404,8,907.974
13,4,23,0.83347124,2.3837399,-7.8874102,7,865.93695
15,1,25,0.83201998,3.1106999,-8.6546097,8,910.974
14,1,19,0.9447335,-3.4667799,-2.4138501,4,688.59601
9,1,10,0.89528948,-0.57099998,-2.0506599,4,440.453
10,8,9,1.0597602,-3.76794,-0.30539,2,396.237
13,7,9,0.97117329,-4.8709998,-0.35372001,4,532.50299
14,3,10,0.90231878,-0.82599998,-3.2598801,7,662.64899
3,1,7,0.84361666,2.904,-5.4635901,5,384.43198
2,1,3,0.79229623,4.625,-4.4687901,5,298.45401
1,0,2,0.72368032,9.1199999,-12.70539,6,468.76599
5,2,12,0.86029184,3.619,-6.1816702,3,502.52798
5,2,11,0.86764812,3.0250001,-5.5887198,3,488.50101
6,0,4,0.84229994,2.54948,-3.7423,5,398.41098
7,4,2,0.95865321,-2.3189399,-0.96267998,3,267.245
5,2,4,1.0435832,-0.31900001,-1.99683,2,347.16501
3,1,7,0.88094831,1.85,-4.2610202,4,352.45499
6,4,6,0.8706767,0.185,-2.3417201,3,376.41699
6,4,6,0.8706767,0.185,-2.3417201,3,376.41699
7,4,10,0.8543753,1.166,-3.3745401,3,475.54999
6,4,11,0.85006249,2.428,-4.6676502,4,510.55099
6,4,11,0.85006249,2.428,-4.6676502,4,510.55099
7,4,20,0.83281177,5.652,-8.0263996,5,743.81799
11,5,29,0.82513434,4.1514802,-7.0352802,3,870.98199
9,7,22,0.82756323,1.663,-5.6428599,3,708.81299
9,7,22,0.82756323,1.663,-5.6428599,3,708.81299
2,2,8,0.78105927,4.9250002,-4.8508201,4,343.46698
7,3,25,0.83074856,5.559,-8.49827,5,831.09998
5,3,22,0.8054499,6.0190001,-6.6900601,4,704.961
6,3,22,0.81797171,4.7779999,-6.4997902,4,718.94397
5,3,23,0.80617863,6.6719999,-7.2424402,5,730.99896
5,3,21,0.81695074,4.585,-5.9593101,4,662.88
5,3,21,0.81293458,5.0469999,-6.28652,4,676.90698
5,3,22,0.80910522,5.6609998,-6.4882898,4,690.93396
6,3,24,0.80394769,6.296,-7.41079,4,763.04102
6,4,22,0.82188344,4.474,-6.0839801,4,706.93298
5,3,22,0.8054499,6.0190001,-6.6900601,4,704.961
5,3,22,0.81240368,5.54,-5.9048901,3,656.91699
5,3,22,0.81240368,5.54,-5.9048901,3,656.91699
6,3,24,0.80729014,5.8340001,-7.08358,4,749.01398
6,4,22,0.82597977,4.0120001,-5.7567701,4,692.90601
6,4,27,0.81641024,5.8969998,-7.3920999,4,806.06598
6,4,23,0.81658763,4.2319999,-5.8524399,4,705.94897
7,3,24,0.81341833,4.5910001,-6.35045,5,776.03998
6,4,25,0.8188132,4.401,-6.3410101,4,747.98596
7,4,25,0.84810537,4.2049999,-5.9695401,4,784.03998
6,4,27,0.81641024,5.8969998,-7.3920999,4,806.06598
6,4,25,0.8188132,4.401,-6.3410101,4,747.98596
7,4,25,0.84810537,4.2049999,-5.9695401,4,784.03998
6,3,25,0.81554782,5.7729998,-7.23103,4,777.02399
7,5,23,0.83443844,4.2989998,-5.83707,4,720.91602
6,4,23,0.82914591,3.5650001,-6.1197901,4,719.93201
6,4,21,0.83478111,3.053,-5.6881499,4,664.85199
6,4,21,0.83951706,2.5910001,-5.36094,4,650.82501
6,4,20,0.85186815,2.632,-3.4832001,2,582.79102
6,4,23,0.82914591,3.5650001,-6.1197901,4,719.93201
5,3,21,0.81695074,4.6799998,-6.29423,4,662.88
5,3,22,0.817307,5.3330002,-6.8466101,5,688.91797
5,3,21,0.81293458,5.1739998,-6.28652,4,676.90698
6,3,23,0.81442487,5.086,-6.4291601,4,720.95996
6,3,22,0.82188344,4.3870001,-6.2980199,4,704.91699
6,4,23,0.81030416,4.777,-6.0534601,4,719.97601
7,5,23,0.81904364,4.1129999,-6.5458202,5,742.96997
6,4,22,0.83478111,3.033,-5.5627098,4,664.85199
6,4,24,0.81030416,4.757,-5.92802,4,719.97601
5,3,21,0.81695074,4.598,-6.29423,4,662.88
7,5,23,0.81904364,4.1129999,-6.5458202,5,742.96997
5,3,20,0.83059597,4.177,-4.0892801,2,580.81897
6,3,23,0.80781573,4.5830002,-5.8572001,4,719.97601
6,3,24,0.80394769,6.296,-7.41079,4,763.04102
6,4,22,0.82188344,4.474,-6.0839801,4,706.93298
6,3,25,0.80791986,6.487,-7.6359601,5,775.052
6,4,23,0.82600254,4.665,-6.3091502,5,718.94397
6,3,25,0.80467129,6.9489999,-7.9631701,5,789.07898
6,4,23,0.82204866,5.1269999,-6.6363602,5,732.97101
6,4,29,0.80989671,6.7810001,-7.79564,4,834.12
7,4,26,0.82539868,3.8080001,-6.3603601,5,819.065
7,3,24,0.82485342,3.684,-6.1992898,5,790.02301
6,3,24,0.80433279,5.0250001,-6.05897,4,734.00299
6,3,23,0.8182379,4.6240001,-6.1019502,4,706.93298
6,4,23,0.82188344,4.454,-5.95854,4,706.93298
5,2,22,0.79951233,6.2160001,-6.5840702,4,718.98798
5,2,22,0.79951233,6.2160001,-6.5840702,4,718.98798
5,3,21,0.8054499,5.7789998,-6.7923398,4,702.94501
6,3,24,0.80729014,5.8340001,-7.08358,4,749.01398
6,4,22,0.82597977,4.0120001,-5.7567701,4,692.90601
